 Fe Density=7.874
 Energy(eV), Delta, Beta
  1572.38977  0.000609346433  0.000147345607
  1594.30786  0.000593429897  0.000140309727
  1616.53174  0.000577872735  0.000133609414
  1639.06531  0.000562669593  0.000127228224
  1661.91296  0.000547828269  0.000121152814
  1685.0791  0.00053334533  0.000115367759
  1708.56824  0.000519225548  0.000109858382
  1732.38477  0.000505462056  0.000104592051
  1756.53333  0.000492031162  9.95334922E-05
  1781.01831  0.000478912465  9.47021981E-05
  1805.84485  0.000466083235  9.0089532E-05
  1831.01721  0.000453559624  8.57016348E-05
  1856.54065  0.000441340235  8.15278472E-05
  1882.41992  0.000429422216  7.75576482E-05
  1908.65979  0.000417801901  7.37809969E-05
  1935.2655  0.000406475476  7.0188391E-05
  1962.24194  0.000395439158  6.67706699E-05
  1989.59473  0.000384674146  6.35185934E-05
  2017.32861  0.000374205527  6.04460765E-05
  2045.44897  0.000364016218  5.74925289E-05
  2073.96143  0.000354086864  5.4669832E-05
  2102.87134  0.00034440856  5.19829191E-05
  2132.18433  0.000334978977  4.94249834E-05
  2161.90576  0.000325794885  4.699079E-05
  2192.0415  0.000316848076  4.46733065E-05
  2222.59741  0.000308135612  4.24684149E-05
  2253.57935  0.000299652631  4.03708073E-05
  2284.99292  0.000291394623  3.83750448E-05
  2316.84448  0.000283355446  3.64754924E-05
  2349.13989  0.000275529339  3.46681081E-05
  2381.8855  0.000267911964  3.29499126E-05
  2415.08789  0.000260498287  3.13151904E-05
  2448.75293  0.000253283244  2.97600491E-05
  2482.88721  0.000246262469  2.8281107E-05
  2517.49707  0.000239430985  2.68747681E-05
  2552.58984  0.000232784034  2.55373416E-05
  2588.17163  0.000226316872  2.42655187E-05
  2624.24927  0.000220024813  2.30562473E-05
  2660.82983  0.000213904597  2.19065896E-05
  2697.92041  0.000207950492  2.08133042E-05
  2735.52783  0.000202158612  1.97740774E-05
  2773.65967  0.000196524619  1.87861824E-05
  2812.323  0.000191045081  1.7847191E-05
  2851.52539  0.000185715893  1.69546365E-05
  2891.27393  0.000180532821  1.61061471E-05
  2931.57666  0.000175491848  1.52997673E-05
  2972.44141  0.000170589396  1.45332697E-05
  3013.87549  0.000165821897  1.380506E-05
  3055.88745  0.000161185686  1.31128772E-05
  3098.48486  0.000156677561  1.24550443E-05
  3141.67603  0.000152293971  1.18299849E-05
  3185.46924  0.000148031424  1.12361195E-05
  3229.8728  0.000143886835  1.06718735E-05
  3274.89575  0.000139856493  1.01357064E-05
  3320.54614  0.000135937691  9.62627655E-06
  3366.83252  0.000132127519  9.14233897E-06
  3413.7644  0.000128423242  8.68256484E-06
  3461.35059  0.000124821614  8.24569543E-06
  3509.59961  0.00012131971  7.83069208E-06
  3558.52148  0.000117914962  7.43658484E-06
  3608.12549  0.0001146047  7.06218179E-06
  3658.4209  0.000111385802  6.70640338E-06
  3709.41724  0.00010825663  6.36862887E-06
  3761.12451  0.000105214451  6.0477023E-06
  3813.55249  0.000102256636  5.74286651E-06
  3866.71143  9.93807553E-05  5.45337298E-06
  3920.61133  9.6584663E-05  5.17841954E-06
  3975.26221  9.38663725E-05  4.91734136E-06
  4030.67554  9.12232936E-05  4.66929623E-06
  4086.86084  8.86535199E-05  4.43381759E-06
  4143.82959  8.61550652E-05  4.21007599E-06
  4201.59229  8.37256739E-05  3.99762757E-06
  4260.16016  8.13635415E-05  3.79589642E-06
  4319.54443  7.9066951E-05  3.60427407E-06
  4379.75635  7.6833785E-05  3.42230919E-06
  4440.80811  7.46621809E-05  3.24955886E-06
  4502.71045  7.2550305E-05  3.08558265E-06
  4565.47559  7.0496666E-05  2.92975164E-06
  4629.11572  6.84995612E-05  2.78183416E-06
  4693.64355  6.65572879E-05  2.64142477E-06
  4759.07031  6.46682747E-05  2.50806806E-06
  4825.40918  6.28309645E-05  2.381385E-06
  4892.67285  6.10439529E-05  2.26119005E-06
  4960.87402  5.93050863E-05  2.14691931E-06
  5030.02588  5.76134953E-05  2.03852574E-06
  5100.14209  5.59675391E-05  1.93561118E-06
  5171.23486  5.43659989E-05  1.83786733E-06
  5243.31885  5.28074743E-05  1.74505954E-06
  5316.4082  5.12904044E-05  1.65695633E-06
  5390.51611  4.98134577E-05  1.57326201E-06
  5465.65723  4.83749427E-05  1.49387415E-06
  5541.84521  4.69736151E-05  1.41845328E-06
  5619.09521  4.56083762E-05  1.34684535E-06
  5697.42285  4.42776727E-05  1.2788613E-06
  5776.8418  4.29801257E-05  1.2143139E-06
  5857.36768  4.17144147E-05  1.1530318E-06
  5939.01611  4.04789316E-05  1.09484517E-06
  6021.80273  3.92710863E-05  1.03960372E-06
  6105.74316  3.80887213E-05  9.87157364E-07
  6190.85449  3.69303707E-05  9.37363438E-07
  6277.15186  3.57934223E-05  8.90087279E-07
  6364.65137  3.46747547E-05  8.4519985E-07
  6453.37158  3.35703407E-05  8.02579962E-07
  6543.32812  3.24748835E-05  7.62121999E-07
  6634.53809  3.13781347E-05  7.23705398E-07
  6727.02051  3.02587559E-05  6.87230568E-07
  6820.7915  2.9090219E-05  6.52604797E-07
  6915.86914  2.77962408E-05  6.19728098E-07
  7012.27295  2.5997284E-05  5.88514752E-07
  7110.02002  1.74924789E-05  5.58883528E-07
  7209.12988  2.49542554E-05  4.25948019E-06
  7309.62109  2.52289265E-05  4.06090703E-06
  7411.51318  2.50454341E-05  3.8708281E-06
  7514.82617  2.47264561E-05  3.68897122E-06
  7619.57861  2.43303493E-05  3.51519566E-06
  7725.79102  2.3889037E-05  3.34914466E-06
  7833.48438  2.34203944E-05  3.19045785E-06
  7942.67969  2.29352408E-05  3.03885395E-06
  8053.396  2.24407886E-05  2.89405921E-06
  8165.65625  2.19403282E-05  2.75574803E-06
  8279.48047  2.14389838E-05  2.62368235E-06
  8394.89258  2.09397385E-05  2.49767686E-06
  8511.91211  2.04442622E-05  2.37738982E-06
  8630.56348  1.99537953E-05  2.26261295E-06
  8750.86914  1.94693221E-05  2.15315845E-06
  8872.85156  1.89916555E-05  2.04874254E-06
  8996.53418  1.85211684E-05  1.94923518E-06
  9121.94141  1.80583829E-05  1.85422834E-06
  9249.0957  1.7603872E-05  1.76371009E-06
  9378.02344  1.71580086E-05  1.67745486E-06
  9508.74805  1.67209564E-05  1.59526383E-06
  9641.29492  1.62927736E-05  1.51694974E-06
  9775.68848  1.58735438E-05  1.44232797E-06
  9911.95703  1.54632726E-05  1.37130235E-06
  10050.125  1.50617752E-05  1.30357603E-06
  10190.2178  1.46692364E-05  1.2390957E-06
  10332.2637  1.42856388E-05  1.17770026E-06
  10476.29  1.3910897E-05  1.1192501E-06
  10622.3232  1.35449081E-05  1.06361404E-06
  10770.3926  1.31875686E-05  1.01065928E-06
  10920.5264  1.28387892E-05  9.6026713E-07
  11072.7529  1.24982971E-05  9.12305097E-07
  11227.1006  1.21660714E-05  8.66666539E-07
  11383.6006  1.18420303E-05  8.23248058E-07
